Highest Day,Lowest Day
9.0 on 13/03/2024 (Day 37),1.0 on 10/02/2024 (Day 5)
8.0 on 06/02/2024 (Day 1),1.0 on 29/02/2024 (Day 24)
7.0 on 06/02/2024 (Day 1),3.0 on 12/02/2024 (Day 7)
8.0 on 11/04/2024 (Day 66),1.0 on 11/02/2024 (Day 6)
9.0 on 14/02/2024 (Day 9),2.0 on 17/02/2024 (Day 12)
6.0 on 11/02/2024 (Day 6),2.0 on 14/02/2024 (Day 9)
8.0 on 06/02/2024 (Day 1),1.0 on 02/03/2024 (Day 26)
7.0 on 13/02/2024 (Day 8),1.0 on 09/02/2024 (Day 4)
10.0 on 09/02/2024 (Day 4),1.0 on 21/02/2024 (Day 16)
10.0 on 08/05/2024 (Day 93),1.0 on 23/02/2024 (Day 18)
